condition_family,condition_level,dataset_name,robust_mean_psnr_gain_over_fixed_lowres,robust_better_than_fixed_fraction,baseline_mean_psnr_gain_over_fixed_lowres,baseline_better_than_fixed_fraction,gain_delta_vs_baseline,condition
clean_reference,0.0,COCO,2.178318986794668,0.976851851851852,1.4539546724226666,0.9027777777777778,0.7243643143720015,clean_reference:0.0
clean_reference,0.0,ImageNet-1k,2.81159414369826,0.9212962962962964,1.0733314018015745,0.7916666666666666,1.7382627418966854,clean_reference:0.0
phase_mask_lateral_shift,1.0,COCO,2.0569382670706107,0.9629629629629628,-13.767274316428264,0.0,15.824212583498875,phase_mask_lateral_shift:1.0
phase_mask_lateral_shift,1.0,ImageNet-1k,2.3911054598383856,0.9166666666666666,-10.812630582823578,0.0,13.203736042661964,phase_mask_lateral_shift:1.0
phase_mask_lateral_shift,2.0,COCO,-13.97481639962269,0.0,-13.904498004839096,0.0,-0.0703183947835928,phase_mask_lateral_shift:2.0
phase_mask_lateral_shift,2.0,ImageNet-1k,-11.170792696059312,0.0,-11.001795834385776,0.0,-0.168996861673536,phase_mask_lateral_shift:2.0
phase_mask_quantization,3.0,COCO,2.067258742113433,0.9814814814814816,-13.02235564312836,0.0,15.089614385241791,phase_mask_quantization:3.0
phase_mask_quantization,3.0,ImageNet-1k,2.3374463807413317,0.8888888888888888,-10.51610119723324,0.0,12.853547577974572,phase_mask_quantization:3.0
phase_mask_quantization,4.0,COCO,2.178352580078001,0.976851851851852,-11.046511838252364,0.0,13.224864418330366,phase_mask_quantization:4.0
phase_mask_quantization,4.0,ImageNet-1k,2.5652392914209203,0.9074074074074074,-8.441047646379854,0.0,11.006286937800771,phase_mask_quantization:4.0
